Nama,ID Produk,Rentang GMV,Status daftar produk,GMV,GMV dari LIVE penjual,GMV LIVE penjual,GMV tidak langsung dari LIVE penjual,GMV dari video penjual,GMV video penjual,GMV tidak langsung dari video penjual,GMV dari kreator,GMV dari LIVE kreator,GMV LIVE afiliasi,GMV tidak langsung dari LIVE kreator,GMV dari video afiliasi,GMV video Afiliasi,GMV tidak langsung dari video kreator,GMV kartu produk penjual,Pesanan,Pesanan SKU,Produk terjual,Est. pembeli,AOV (pesanan SKU),Impresi produk,Klik produk,CTR,Jumlah tambahkan ke keranjang,Persentase tambahkan ke keranjang,CTOR (pesanan SKU),Impresi produk unik,Klik unik,CTR unik,Pembeli yang menambahkan ke keranjang,Persentase ATC unik,CTOR unik (pesanan SKU),GMV dengan pajak,Pajak,GMV (dengan subsidi dari TikTok),Shipping fees,Pengembalian dana,Produk yang dikembalikan dananya,Pembeli yang dikembalikan dananya,Impresi produk tab Toko,Klik produk tab Toko,Klik produk tab Toko unik,Est. pembeli tab Toko,CTR tab Toko,CTOR tab Toko (SKU),GMV tab Toko,Produk terjual dari tab Toko,Perolehan GMV,GMV.1,GMV tidak langsung,Pesanan teratribusi,Pesanan SKU teratribusi,Pesanan SKU.1,Pesanan SKU tidak langsung,Produk terjual dengan atribusi,Produk terjual.1,Produk yang terjual secara tidak langsung,Est. pembeli.1,AOV (pesanan SKU teratribusi),Jumlah LIVE baru,Impresi produk.1,Klik produk.1,CTR.1,Jumlah tambahkan ke keranjang.1,Persentase tambahkan ke keranjang.1,CTOR (pesanan SKU).1,Impresi produk unik.1,Klik unik.1,CTR unik.1,Pembeli yang menambahkan ke keranjang.1,Persentase ATC unik.1,CTOR unik (pesanan SKU).1,Perolehan GMV.1,GMV.2,GMV tidak langsung.1,Pesanan teratribusi.1,Pesanan SKU teratribusi.1,Pesanan SKU.2,Pesanan SKU tidak langsung.1,Produk terjual dengan atribusi.1,Produk terjual.2,Produk yang terjual secara tidak langsung.1,Est. pembeli.2,AOV (pesanan SKU teratribusi).1,Jumlah video baru,Impresi produk.2,Klik produk.2,CTR.2,Jumlah tambahkan ke keranjang.2,Persentase tambahkan ke keranjang.2,CTOR (pesanan SKU).2,Impresi produk unik.2,Klik unik.2,CTR unik.2,Pembeli yang menambahkan ke keranjang.2,Persentase ATC unik.2,CTOR unik (pesanan SKU).2,Perolehan GMV.2,GMV dari LIVE,GMV LIVE afiliasi.1,GMV tidak langsung dari LIVE kreator.1,GMV dari video,GMV video Afiliasi.1,GMV tidak langsung dari video kreator.1,Pesanan teratribusi.2,Pesanan SKU teratribusi.2,Produk terjual dengan atribusi.2,Est. pembeli.3,AOV (pesanan SKU teratribusi).2,promoting_creators_metric_name_short_ui,Jumlah LIVE baru.1,Jumlah video baru.1,Impresi produk.3,Klik produk.3,CTR.3,Jumlah tambahkan ke keranjang.3,Persentase tambahkan ke keranjang.3,CTOR (pesanan SKU).3,Impresi produk unik.3,Klik unik.3,CTR unik.3,Pembeli yang menambahkan ke keranjang.3,Persentase ATC unik.3,CTOR unik (pesanan SKU).3,Impresi produk (LIVE),Klik produk (LIVE),CTR (LIVE),Jumlah tambahkan ke keranjang (LIVE),Tambahkan ke keranjang (LIVE),CTOR (pesanan SKU) (LIVE),Impresi produk unik (LIVE),Klik unik (LIVE),CTR unik (LIVE),Pengguna ATC (LIVE),Persentase ATC unik (LIVE),CTOR unik (SKU) (LIVE),Impresi produk (video),Klik produk (video),CTR (video),Jumlah tambahkan ke keranjang (video),Tambahkan ke keranjang (video),CTOR (pesanan SKU) (video),Impresi produk unik (video),Klik unik (video),CTR unik (video),Pengguna ATC (video),Persentase ATC unik (video),CTOR unik (SKU) (video),Perolehan GMV.3,GMV.3,GMV tidak langsung.2,Pesanan teratribusi.3,Pesanan SKU teratribusi.3,Pesanan SKU.3,Pesanan SKU tidak langsung.2,Produk terjual dengan atribusi.3,Produk terjual.3,Produk yang terjual secara tidak langsung.2,Est. pembeli.4,AOV (pesanan SKU teratribusi).3,Impresi produk.4,Klik produk.4,CTR.4,Jumlah tambahkan ke keranjang.4,Persentase tambahkan ke keranjang.4,CTOR (pesanan SKU).4,Impresi produk unik.4,Klik unik.4,CTR unik.4,Pembeli yang menambahkan ke keranjang.4,Persentase ATC unik.4,CTOR unik (pesanan SKU).4
"MIKAYO Paket 6 Mesin Tukang Kayu Japan Tech: Bor 10mm, Gerinda 4in, Serut Kayu, Circular Saw, Profil Router, Jigsaw - Set Lengkap Garansi",1732713633866810877,GMV ≥30rb atau produk terjual ≥1rb,Aktif,Rp1.905.854.672,Rp27.450.988,Rp27.450.988,Rp0,Rp333.322.250,Rp318.697.148,Rp14.625.102,Rp1.497.535.354,Rp752.880.345,Rp746.226.667,Rp6.653.678,Rp721.932.936,Rp704.412.965,Rp17.519.971,Rp43.293.778,865,865,867,840,Rp2.203.300,19109710,366602,1.92%,7500,2.05%,0.24%,14562067,300463,2.06%,5829,1.94%,0.28%,Rp1.905.854.672,Rp0,Rp1.911.150.346,Rp446.354.911,Rp908.784.733,423,418,1127994,15462,12447,67,1.37%,0.45%,Rp149.675.535,70,Rp27.450.988,Rp27.450.988,Rp0,14,14,14,0,14,14,0,14,Rp1.960.785,91,221101,2382,1.08%,46,1.93%,0.59%,147455,1522,1.03%,35,2.30%,0.92%,Rp333.322.250,Rp318.697.148,Rp14.625.102,143,143,138,5,143,138,5,140,Rp2.330.925,5,2269469,56053,2.47%,1229,2.19%,0.26%,1962705,47970,2.44%,820,1.71%,0.29%,Rp1.497.535.354,Rp752.880.345,Rp746.226.667,Rp6.653.678,Rp721.932.936,Rp704.412.965,Rp17.519.971,686,686,688,665,Rp2.182.996,723,584,472,16062553,298112,1.86%,5825,1.95%,0.23%,11094136,234099,2.11%,4688,2.00%,0.28%,8989624,47144,0.52%,2352,4.99%,0.76%,5579862,30722,0.55%,623,2.03%,1.13%,7056492,250542,3.55%,4605,1.84%,0.13%,5640670,204022,3.62%,4064,1.99%,0.15%,Rp43.293.778,Rp43.293.778,Rp0,20,20,20,0,20,20,0,20,Rp2.164.689,556532,10055,1.81%,402,4.00%,0.20%,456658,8367,1.83%,319,3.81%,0.24%
[ PAKET 3 ITEM ] Mesin Profil Router + Planer Serut Kayu + Sirkel Circular Saw Tukang Kayu SET,1729652473327027709,GMV ≥250 atau produk terjual ≥3,Aktif,Rp126.163.127,Rp3.102.505,Rp1.999.585,Rp1.102.920,Rp68.082.427,Rp55.022.217,Rp13.060.210,Rp46.817.672,Rp8.689.674,Rp8.689.674,Rp0,Rp34.042.285,Rp29.084.623,Rp4.957.662,Rp8.160.523,127,127,131,122,Rp993.410,389373,22372,5.75%,520,2.32%,0.57%,271995,16216,5.96%,462,2.85%,0.75%,Rp126.163.127,Rp0,Rp139.903.276,Rp24.302.916,Rp59.222.352,58,54,142848,8562,6255,57,5.99%,0.69%,Rp55.100.037,59,Rp3.102.505,Rp1.999.585,Rp1.102.920,3,3,2,1,3,2,1,3,Rp1.034.168,135,15610,743,4.76%,5,0.67%,0.40%,13024,599,4.60%,5,0.83%,0.50%,Rp68.082.427,Rp55.022.217,Rp13.060.210,71,71,56,15,71,56,15,68,Rp958.907,2,143728,9457,6.58%,236,2.50%,0.75%,106076,7268,6.85%,212,2.92%,0.94%,Rp46.817.672,Rp8.689.674,Rp8.689.674,Rp0,Rp34.042.285,Rp29.084.623,Rp4.957.662,44,44,48,42,Rp1.064.038,152,149,46,130888,7743,5.92%,165,2.13%,0.57%,100561,5836,5.80%,150,2.57%,0.72%,20922,756,3.61%,16,2.12%,1.19%,17166,503,2.93%,13,2.58%,1.59%,106474,6901,6.48%,140,2.03%,0.43%,82194,5288,6.43%,128,2.42%,0.55%,Rp8.160.523,Rp8.160.523,Rp0,9,9,9,0,9,9,0,9,Rp906.725,99146,4429,4.47%,114,2.57%,0.20%,77646,3613,4.65%,107,2.96%,0.25%
Mesin Potong Rumput Gendong Genmaru Tesla BG-328T 2 Tak Portable Brush Cutter Pemotong Rumput BG328T,1730809946766935549,GMV ≥10rb atau produk terjual ≥300,Aktif,Rp101.369.458,Rp756.742,Rp756.742,Rp0,Rp36.553.775,Rp35.485.681,Rp1.068.094,Rp54.242.539,Rp0,Rp0,Rp0,Rp49.805.906,Rp46.413.053,Rp3.392.853,Rp9.816.402,93,93,94,88,Rp1.089.994,376831,26803,7.11%,456,1.70%,0.35%,277551,21291,7.67%,380,1.78%,0.41%,Rp101.369.458,Rp0,Rp107.726.431,Rp18.486.000,Rp28.829.768,29,27,40170,1957,1467,29,4.87%,1.53%,Rp30.544.554,30,Rp756.742,Rp756.742,Rp0,1,1,1,0,1,1,0,1,Rp756.742,19,2097,58,2.77%,0,0.00%,1.72%,1725,41,2.38%,0,0.00%,2.44%,Rp36.553.775,Rp35.485.681,Rp1.068.094,36,36,35,1,36,35,1,34,Rp1.015.383,0,173339,13308,7.68%,218,1.64%,0.27%,133835,11270,8.42%,193,1.71%,0.30%,Rp54.242.539,Rp0,Rp0,Rp0,Rp49.805.906,Rp46.413.053,Rp3.392.853,49,49,50,46,Rp1.106.991,79,81,45,175656,12659,7.21%,225,1.78%,0.39%,131175,9610,7.33%,180,1.87%,0.48%,3954,102,2.58%,3,2.94%,0.00%,2959,80,2.70%,3,3.75%,0.00%,169531,12521,7.39%,221,1.77%,0.36%,127606,9512,7.45%,176,1.85%,0.44%,Rp9.816.402,Rp9.816.402,Rp0,7,7,7,0,7,7,0,7,Rp1.402.343,25712,774,3.01%,15,1.94%,0.90%,19724,599,3.04%,15,2.50%,1.17%
PAKET HEMAT ||  Mesin Bor 10mm dan Gerinda Mikayo Yukido,1729642443690445309,GMV ≥10rb atau produk terjual ≥300,Aktif,Rp100.864.787,Rp4.739.613,Rp4.377.213,Rp362.400,Rp9.113.672,Rp7.738.328,Rp1.375.344,Rp82.172.809,Rp48.367.037,Rp45.605.414,Rp2.761.623,Rp29.419.077,Rp27.102.742,Rp2.316.335,Rp5.156.534,281,281,281,273,Rp358.949,452824,19605,4.33%,652,3.33%,1.43%,340113,14366,4.22%,516,3.59%,1.90%,Rp100.864.787,Rp0,Rp104.056.887,Rp18.131.727,Rp14.114.715,40,40,76496,3383,2476,89,4.42%,2.63%,Rp31.114.759,89,Rp4.739.613,Rp4.377.213,Rp362.400,13,13,12,1,13,12,1,13,Rp364.586,22,25424,567,2.23%,6,1.06%,2.29%,20652,383,1.85%,6,1.57%,3.39%,Rp9.113.672,Rp7.738.328,Rp1.375.344,25,25,21,4,25,21,4,25,Rp364.547,0,15775,951,6.03%,70,7.36%,2.63%,8945,554,6.19%,45,8.12%,4.51%,Rp82.172.809,Rp48.367.037,Rp45.605.414,Rp2.761.623,Rp29.419.077,Rp27.102.742,Rp2.316.335,229,229,229,221,Rp358.833,187,248,69,367618,16146,4.39%,471,2.92%,1.42%,238118,10993,4.62%,384,3.49%,2.01%,287684,8802,3.06%,213,2.42%,1.52%,188186,6027,3.20%,180,2.99%,2.14%,77488,7295,9.41%,254,3.48%,1.12%,52016,5070,9.75%,204,4.02%,1.56%,Rp5.156.534,Rp5.156.534,Rp0,15,15,15,0,15,15,0,15,Rp343.769,43980,1938,4.41%,106,5.47%,0.77%,32088,1380,4.30%,85,6.16%,1.09%
Mesin Router Kayu Besar 2 Tangan Wood Trimmer Profesional Profil Besar Naik Turun 12mm MIKAYO,1731706486487549437,GMV ≥250 atau produk terjual ≥3,Aktif,Rp99.635.826,Rp0,Rp0,Rp0,Rp16.919.168,Rp15.297.154,Rp1.622.014,Rp80.511.863,Rp1.895.290,Rp1.895.290,Rp0,Rp75.643.367,Rp68.465.409,Rp7.177.958,Rp2.204.795,150,150,151,147,Rp664.239,419690,27497,6.55%,540,1.96%,0.55%,261434,19632,7.51%,454,2.31%,0.75%,Rp99.635.826,Rp0,Rp114.176.743,Rp20.595.174,Rp33.240.243,47,46,101655,5332,3973,54,5.25%,1.01%,Rp34.174.891,55,Rp0,Rp0,Rp0,0,0,0,0,0,0,0,0,Rp0,48,2053,64,3.12%,0,0.00%,0.00%,1751,54,3.08%,0,0.00%,0.00%,Rp16.919.168,Rp15.297.154,Rp1.622.014,25,25,22,3,25,22,3,25,Rp676.767,2,95658,4809,5.03%,89,1.85%,0.52%,76663,4083,5.33%,81,1.98%,0.61%,Rp80.511.863,Rp1.895.290,Rp1.895.290,Rp0,Rp75.643.367,Rp68.465.409,Rp7.177.958,121,121,122,118,Rp665.387,262,296,41,273702,21056,7.69%,413,1.96%,0.57%,170878,15317,8.96%,358,2.34%,0.77%,13426,270,2.01%,8,2.96%,1.11%,11205,214,1.91%,6,2.80%,1.40%,258480,20731,8.02%,404,1.95%,0.55%,159357,15100,9.48%,352,2.33%,0.74%,Rp2.204.795,Rp2.204.795,Rp0,4,4,4,0,4,4,0,4,Rp551.199,48280,1568,3.25%,38,2.42%,0.26%,35343,1280,3.62%,35,2.73%,0.31%
Paket Hemat 3 Item Mesin Bor Gerinda Set Cover dengan Mesin Las Mikayo 450Watt,1730458857197766141,produk terjual ≥1,Aktif,Rp94.018.843,Rp4.120.037,Rp4.120.037,Rp0,Rp42.931.633,Rp38.503.269,Rp4.428.364,Rp43.341.626,Rp2.468.370,Rp2.468.370,Rp0,Rp37.845.749,Rp27.459.206,Rp10.386.543,Rp3.625.547,111,111,111,103,Rp847.017,374562,22093,5.90%,960,4.35%,0.50%,274745,17457,6.35%,824,4.72%,0.59%,Rp94.018.843,Rp0,Rp105.448.851,Rp16.838.004,Rp54.215.369,60,58,63229,3170,2294,35,5.01%,1.20%,Rp31.107.168,38,Rp4.120.037,Rp4.120.037,Rp0,5,5,5,0,5,5,0,3,Rp824.007,43,2750,85,3.09%,1,1.18%,5.88%,2049,61,2.98%,1,1.64%,4.92%,Rp42.931.633,Rp38.503.269,Rp4.428.364,50,50,44,6,50,44,6,47,Rp858.633,4,197012,12321,6.25%,559,4.54%,0.41%,160129,10344,6.46%,489,4.73%,0.45%,Rp43.341.626,Rp2.468.370,Rp2.468.370,Rp0,Rp37.845.749,Rp27.459.206,Rp10.386.543,52,52,52,51,Rp833.493,50,31,27,125472,8064,6.43%,337,4.18%,0.64%,95898,6672,6.96%,292,4.38%,0.76%,9177,117,1.27%,4,3.42%,2.56%,5292,99,1.87%,3,3.03%,3.03%,112769,7836,6.95%,328,4.19%,0.57%,89653,6551,7.31%,286,4.37%,0.67%,Rp3.625.547,Rp3.625.547,Rp0,4,4,4,0,4,4,0,4,Rp906.387,49320,1623,3.29%,63,3.88%,0.25%,39399,1223,3.10%,58,4.74%,0.33%
MESIN LAS 450WATT 120A MESIN LAS MMA TRAVO INVERTER WELDER 450W LENGKAP,1730458751284184573,produk terjual ≥1,Aktif,Rp87.428.313,Rp1.097.609,Rp1.097.609,Rp0,Rp39.491.064,Rp38.382.191,Rp1.108.873,Rp41.856.303,Rp356.328,Rp356.328,Rp0,Rp37.253.226,Rp34.532.976,Rp2.720.250,Rp4.983.337,236,236,238,231,Rp370.459,263389,19129,7.26%,811,4.24%,1.23%,203176,15157,7.46%,712,4.70%,1.52%,Rp87.428.313,Rp0,Rp106.955.064,Rp16.306.211,Rp30.195.125,81,80,71969,3709,2805,97,5.15%,2.64%,Rp36.063.472,99,Rp1.097.609,Rp1.097.609,Rp0,3,3,3,0,3,3,0,3,Rp365.870,57,3096,101,3.26%,2,1.98%,2.97%,2485,77,3.10%,2,2.60%,3.90%,Rp39.491.064,Rp38.382.191,Rp1.108.873,104,104,101,3,104,101,3,101,Rp379.722,2,140098,12152,8.67%,593,4.88%,0.86%,122173,10025,8.21%,518,5.17%,1.01%,Rp41.856.303,Rp356.328,Rp356.328,Rp0,Rp37.253.226,Rp34.532.976,Rp2.720.250,116,116,118,114,Rp360.830,21,8,15,85797,5794,6.75%,187,3.23%,2.00%,63455,4732,7.46%,172,3.63%,2.41%,675,40,5.93%,1,2.50%,2.50%,555,37,6.67%,1,2.70%,2.70%,82253,5683,6.91%,183,3.22%,1.81%,61738,4652,7.54%,169,3.63%,2.17%,Rp4.983.337,Rp4.983.337,Rp0,13,13,13,0,13,13,0,13,Rp383.334,34398,1082,3.15%,29,2.68%,1.20%,26915,844,3.14%,29,3.44%,1.54%
Wilmer Sepatu Boot AP Premium Karet Tinggi Panjang Anti Slip 39 40 41 42 43 Shoes,1729932765870787069,GMV ≥3.500 atau produk terjual ≥100,Aktif,Rp80.131.471,Rp58.552,Rp58.552,Rp0,Rp1.923.780,Rp1.748.040,Rp175.740,Rp74.011.357,Rp8.436.892,Rp7.871.781,Rp565.111,Rp63.261.935,Rp60.419.187,Rp2.842.748,Rp4.025.369,1338,1355,1424,1300,Rp59.138,676775,34638,5.12%,849,2.45%,3.91%,515100,26906,5.22%,729,2.71%,4.83%,Rp80.131.471,Rp0,Rp107.301.263,Rp31.440.469,Rp10.666.043,189,177,88397,2968,2155,221,3.36%,8.22%,Rp14.358.620,258,Rp58.552,Rp58.552,Rp0,1,1,1,0,1,1,0,1,Rp58.552,105,5848,80,1.37%,1,1.25%,1.25%,5011,69,1.38%,1,1.45%,1.45%,Rp1.923.780,Rp1.748.040,Rp175.740,34,34,31,3,34,31,3,34,Rp56.582,10,14563,632,4.34%,11,1.74%,5.38%,9854,507,5.15%,11,2.17%,6.71%,Rp74.011.357,Rp8.436.892,Rp7.871.781,Rp565.111,Rp63.261.935,Rp60.419.187,Rp2.842.748,1236,1251,1315,1200,Rp59.162,288,334,153,594325,32181,5.41%,779,2.42%,3.89%,446118,24718,5.54%,676,2.73%,4.85%,106151,3078,2.90%,63,2.05%,4.06%,78220,2188,2.80%,51,2.33%,5.07%,481685,28973,6.01%,705,2.43%,3.74%,368770,22552,6.12%,620,2.75%,4.66%,Rp4.025.369,Rp4.025.369,Rp0,65,67,67,0,72,72,0,64,Rp60.080,62039,1745,2.81%,58,3.32%,3.84%,51613,1294,2.51%,45,3.48%,4.95%
PAKET (6 ITEM) KOMPRESOR YUKIDO Mesin Kompresor Listrik Oilless Silent 3/4 HP 8Liter AB8-88L Spraygun cat+ air duster+air chuck +selang recoil+coupler,1735435521250002429,GMV ≥10rb atau produk terjual ≥300,Aktif,Rp79.672.577,Rp4.860.120,Rp4.860.120,Rp0,Rp6.097.117,Rp6.097.117,Rp0,Rp68.715.340,Rp0,Rp0,Rp0,Rp68.715.340,Rp68.715.340,Rp0,Rp0,40,40,40,40,Rp1.991.814,490491,31522,6.43%,1021,3.24%,0.13%,412097,27843,6.76%,956,3.43%,0.14%,Rp79.672.577,Rp0,Rp84.990.827,Rp20.036.500,Rp54.956.110,27,27,24472,786,626,4,3.21%,0.51%,Rp8.790.030,4,Rp4.860.120,Rp4.860.120,Rp0,2,2,2,0,2,2,0,2,Rp2.430.060,107,35122,812,2.31%,16,1.97%,0.25%,29447,616,2.09%,15,2.44%,0.32%,Rp6.097.117,Rp6.097.117,Rp0,4,4,4,0,4,4,0,4,Rp1.524.279,5,30350,2297,7.57%,50,2.18%,0.17%,21761,1873,8.61%,44,2.35%,0.21%,Rp68.715.340,Rp0,Rp0,Rp0,Rp68.715.340,Rp68.715.340,Rp0,34,34,34,34,Rp2.021.039,90,64,51,408775,27916,6.83%,938,3.36%,0.12%,334804,24026,7.18%,884,3.68%,0.14%,43505,565,1.30%,7,1.24%,0.00%,33622,412,1.23%,7,1.70%,0.00%,363658,27296,7.51%,929,3.40%,0.12%,301027,23598,7.84%,875,3.71%,0.14%,Rp0,Rp0,Rp0,0,0,0,0,0,0,0,0,Rp0,16230,496,3.06%,17,3.43%,0.00%,12349,404,3.27%,16,3.96%,0.00%
Mesin Profil Kayu / Wood Trimmer Mikayo Yukido Bonus Mata 1 Router Kayu,1729642389182712317,GMV ≥250 atau produk terjual ≥3,Aktif,Rp79.111.931,Rp5.330.147,Rp5.124.748,Rp205.399,Rp10.614.159,Rp8.267.915,Rp2.346.244,Rp55.072.093,Rp13.612.172,Rp13.347.552,Rp264.620,Rp37.252.669,Rp31.602.325,Rp5.650.344,Rp8.095.532,304,304,304,297,Rp260.237,384138,19282,5.02%,659,3.42%,1.58%,263256,13531,5.14%,550,4.06%,2.19%,Rp79.111.931,Rp0,Rp92.596.694,Rp17.880.340,Rp13.030.422,49,48,101685,4286,3086,138,4.21%,3.24%,Rp35.262.058,139,Rp5.330.147,Rp5.124.748,Rp205.399,21,21,20,1,21,20,1,20,Rp253.817,112,37463,920,2.46%,19,2.07%,2.28%,29202,699,2.39%,18,2.58%,2.86%,Rp10.614.159,Rp8.267.915,Rp2.346.244,42,42,32,10,42,32,10,42,Rp252.718,5,46098,3749,8.13%,124,3.31%,1.12%,28420,2908,10.23%,110,3.78%,1.44%,Rp55.072.093,Rp13.612.172,Rp13.347.552,Rp264.620,Rp37.252.669,Rp31.602.325,Rp5.650.344,210,210,210,205,Rp262.248,264,316,57,220544,12060,5.47%,387,3.21%,1.74%,155999,8637,5.54%,330,3.82%,2.37%,111098,1759,1.58%,45,2.56%,2.73%,85744,1303,1.52%,40,3.07%,3.53%,106845,10240,9.58%,334,3.26%,1.42%,69772,7352,10.54%,284,3.86%,1.93%,Rp8.095.532,Rp8.095.532,Rp0,31,31,31,0,31,31,0,31,Rp261.146,80021,2552,3.19%,129,5.05%,1.21%,58774,2072,3.53%,114,5.50%,1.50%
